"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"271" "Fair" "Very underweight" 30
"272" "Very Good" "About the right weight" 150
"273" "Good" "About the right weight" 510
"274" "Good" "About the right weight" 0
"275" "Excellent" "Slightly overweight" 100
"276" "Good" "Slightly overweight" 0
"277" "Good" "Slightly overweight" 120
"278" "Excellent" "About the right weight" 30
"279" "Fair" "About the right weight" 200
"280" "Very Good" "Slightly underweight" 120
"281" "Very Good" "Slightly overweight" 300
"282" "Very Good" "About the right weight" 0
"283" "Fair" "Very overweight" 150
"284" "Good" "About the right weight" 90
"285" "Very Good" "Slightly overweight" 120
"286" "Good" "About the right weight" 120
"287" "Good" "About the right weight" 30
"288" "Good" "Slightly overweight" 120
"289" "Very Good" "About the right weight" 100
"290" "Excellent" "About the right weight" 60
"291" "Fair" "Slightly underweight" 180
"292" "Very Good" "About the right weight" 300
"293" "Good" "About the right weight" 130
"294" "Good" "Slightly overweight" 400
"295" "Poor" "Slightly overweight" 180
"296" "Good" "Slightly overweight" 120
"297" "Fair" "About the right weight" 120
"298" "Excellent" "Slightly underweight" 840
"299" "Very Good" "About the right weight" 840
"300" "Excellent" "About the right weight" 80
"301" "Very Good" "Very overweight" 120
"302" "Very Good" "About the right weight" 220
"303" "Excellent" "About the right weight" 420
"304" "Good" "Slightly overweight" 60
"305" "Fair" "About the right weight" 60
"306" "Very Good" "About the right weight" 600
"307" "Good" "Slightly overweight" 120
"308" "Good" "About the right weight" 500
"309" "Very Good" "About the right weight" 30
"310" "Excellent" "Slightly underweight" 45
"311" "Good" "Slightly overweight" 200
"312" "Good" "Slightly overweight" 60
"313" "Good" "Very overweight" 20
"314" "Good" "About the right weight" 30
"315" "Very Good" "Slightly underweight" 100
"316" "Good" "About the right weight" 300
"317" "Good" "Slightly overweight" 180
"318" "Good" "Slightly overweight" 300
"319" "Good" "Slightly overweight" 634
"320" "Fair" "About the right weight" 180
"321" "Good" "Slightly overweight" 50
"322" NA "Slightly underweight" 30
"323" "Very Good" "Slightly overweight" 60
"324" "Fair" "Slightly overweight" 240
"325" "Very Good" "About the right weight" 60
"326" "Fair" "Slightly overweight" 180
"327" "Very Good" "About the right weight" 210
"328" "Fair" "About the right weight" 210
"329" "Very Good" "Very overweight" 120
"330" "Good" "Slightly overweight" 2100
"331" "Very Good" "About the right weight" 420
"332" "Good" "Slightly overweight" 120
"333" "Very Good" "About the right weight" 120
"334" "Very Good" "About the right weight" 60
"335" "Very Good" "About the right weight" 90
"336" "Good" "About the right weight" 20
"337" "Good" "Slightly overweight" 120
"338" "Good" "About the right weight" 100
"339" "Very Good" "About the right weight" 40
"340" "Very Good" "Slightly underweight" 240
"341" "Fair" "Slightly overweight" 90
"342" "Very Good" "About the right weight" 180
"343" "Good" "Slightly overweight" 300
"344" "Excellent" "About the right weight" 200
"345" "Very Good" "About the right weight" 60
"346" "Good" "About the right weight" 300
"347" "Good" "Slightly underweight" 120
"348" "Very Good" "Slightly overweight" 140
"349" "Excellent" "Slightly overweight" 120
"350" "Fair" "About the right weight" 300
"351" "Very Good" "About the right weight" 185
"352" "Poor" "Slightly overweight" 0
"353" "Good" "Very overweight" 40
"354" "Good" "About the right weight" 300
"355" "Good" "Slightly underweight" 120
"356" "Excellent" "Slightly underweight" 60
"357" "Excellent" "About the right weight" 60
"358" "Fair" "About the right weight" 180
"359" "Good" "Slightly underweight" 240
"360" NA "Slightly overweight" 45
"361" "Excellent" "About the right weight" 45
"362" "Excellent" "Slightly overweight" 45
"363" "Excellent" "About the right weight" 420
"364" "Very Good" "Slightly underweight" 210
"365" "Good" "About the right weight" 30
"366" "Very Good" "About the right weight" 15
"367" "Very Good" "Slightly overweight" 80
"368" "Very Good" "Slightly overweight" 120
"369" "Excellent" "About the right weight" 180
"370" "Good" "About the right weight" 120
"371" "Very Good" "About the right weight" 360
"372" "Very Good" "About the right weight" 180
"373" "Good" "Slightly overweight" 510
"374" "Very Good" "Slightly overweight" 60
"375" "Very Good" "About the right weight" 510
"376" "Very Good" "About the right weight" 45
"377" "Excellent" "About the right weight" 60
"378" "Poor" "About the right weight" 48
"379" NA "About the right weight" 120
"380" "Excellent" "About the right weight" 120
"381" "Excellent" "About the right weight" 60
"382" "Good" "Very overweight" 240
"383" "Good" "Slightly overweight" 400
"384" "Good" "About the right weight" 120
"385" "Good" "Very overweight" 300
"386" "Good" "About the right weight" 120
"387" "Very Good" "Very overweight" 360
"388" "Good" "Slightly underweight" 120
"389" "Very Good" "About the right weight" 500
"390" "Fair" "About the right weight" 60
"391" "Fair" "Slightly overweight" 60
"392" "Very Good" "About the right weight" 120
"393" "Very Good" "About the right weight" 30
"394" "Good" "Slightly overweight" 300
"395" "Very Good" "About the right weight" 420
"396" "Very Good" "About the right weight" 60
"397" "Good" "About the right weight" 560
"398" "Good" "Slightly overweight" 60
"399" "Fair" "About the right weight" 210
"400" "Good" "About the right weight" 30
"401" "Very Good" "Slightly underweight" 30
"402" "Very Good" "About the right weight" 300
"403" "Very Good" "About the right weight" 1020
"404" "Good" "Slightly overweight" 300
"405" "Good" "Slightly underweight" 420
"406" "Good" "About the right weight" 30
"407" "Good" "About the right weight" 240
"408" "Fair" "About the right weight" 140
"409" "Good" "About the right weight" 120
"410" "Fair" "About the right weight" 100
"411" "Fair" "Very underweight" 40
"412" "Very Good" "About the right weight" 200
"413" "Very Good" "Slightly overweight" 420
"414" "Very Good" "Slightly overweight" 120
"415" "Very Good" "Slightly underweight" 175
"416" "Very Good" "Slightly underweight" 200
"417" "Good" "Slightly overweight" 90
"418" "Very Good" "About the right weight" 90
"419" "Good" "About the right weight" 30
"420" "Very Good" "Slightly overweight" 120
"421" "Good" "About the right weight" 400
"422" "Very Good" "About the right weight" 60
"423" "Good" "About the right weight" 1400
"424" "Fair" "Slightly overweight" 120
"425" "Excellent" "Slightly underweight" 1600
"426" NA "Very overweight" 120
"427" "Good" "Slightly overweight" 210
"428" "Very Good" "Slightly overweight" 75
"429" "Very Good" "Slightly overweight" 300
"430" "Excellent" "About the right weight" 120
"431" "Good" "Very overweight" 30
"432" "Good" "Slightly underweight" 500
"433" "Very Good" "About the right weight" 100
"434" "Good" "Slightly overweight" 60
"435" "Very Good" "About the right weight" 60
"436" "Fair" "Slightly underweight" 1260
"437" "Fair" "About the right weight" 60
"438" "Good" "Very overweight" 180
"439" "Fair" "About the right weight" 60
"440" "Very Good" "Very overweight" 420
"441" "Very Good" "About the right weight" 60
"442" "Very Good" "About the right weight" 90
"443" "Very Good" "About the right weight" 40
"444" "Good" "Slightly overweight" 300
"445" "Fair" "Slightly overweight" 1260
"446" "Very Good" "Slightly overweight" 70
