"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"1448" "Good" "Very overweight" 30
"1449" "Good" "About the right weight" 15
"1450" "Good" "About the right weight" 90
"1451" "Good" "About the right weight" 90
"1452" "Good" "Slightly overweight" 3000
"1453" "Very Good" "About the right weight" 300
"1454" "Good" "Very overweight" 45
"1455" "Very Good" "Slightly overweight" 60
"1456" "Good" "Slightly overweight" 300
"1457" "Very Good" "About the right weight" 120
"1458" "Good" "About the right weight" 150
"1459" "Fair" "Very overweight" 1200
"1460" "Very Good" "About the right weight" 120
"1461" "Excellent" "Slightly underweight" 150
"1462" "Fair" "Very overweight" 130
"1463" "Excellent" "About the right weight" 20
"1464" "Fair" "Slightly overweight" 100
"1465" "Good" "Slightly underweight" 400
"1466" "Very Good" "About the right weight" 2400
"1467" NA "About the right weight" 30
"1468" "Very Good" "About the right weight" 45
"1469" "Very Good" "About the right weight" 480
"1470" "Very Good" "About the right weight" 1185
"1471" "Very Good" "Slightly overweight" 30
"1472" "Very Good" "About the right weight" 45
"1473" "Good" "About the right weight" 300
"1474" "Very Good" "About the right weight" 45
"1475" "Very Good" "About the right weight" 1200
"1476" "Excellent" "About the right weight" 120
"1477" "Excellent" "About the right weight" 60
"1478" "Very Good" "Slightly overweight" 160
"1479" "Very Good" "Slightly overweight" 360
"1480" "Very Good" "Slightly overweight" 240
"1481" "Very Good" "Slightly overweight" 360
"1482" "Very Good" "About the right weight" 350
"1483" "Good" "Very overweight" 300
"1484" "Excellent" "Slightly underweight" 180
"1485" "Fair" "Slightly overweight" NA
"1486" "Excellent" "About the right weight" 420
"1487" "Good" "Slightly overweight" 120
"1488" "Good" "About the right weight" 30
"1489" "Good" "Very overweight" 700
"1490" "Good" "Slightly overweight" 150
"1491" "Very Good" "Very overweight" 120
"1492" NA "About the right weight" 120
"1493" "Very Good" "About the right weight" 45
"1494" "Excellent" "About the right weight" 300
"1495" "Good" "About the right weight" 0
"1496" "Excellent" "Slightly overweight" 20
"1497" "Good" "Slightly overweight" 180
"1498" "Very Good" "About the right weight" 360
"1499" "Fair" "About the right weight" 600
"1500" "Poor" "About the right weight" 20
"1501" "Good" "Very overweight" 30
"1502" "Very Good" "About the right weight" 180
"1503" "Good" "About the right weight" 120
"1504" "Very Good" "About the right weight" 120
"1505" "Good" "Slightly overweight" 120
"1506" "Excellent" "About the right weight" 60
"1507" "Good" "Slightly overweight" 60
"1508" "Good" "Slightly overweight" 80
"1509" "Good" "Slightly overweight" 180
"1510" "Fair" "About the right weight" 260
"1511" "Fair" "About the right weight" NA
"1512" "Excellent" "Very overweight" 300
"1513" "Very Good" "Slightly overweight" 140
"1514" "Very Good" "About the right weight" 60
"1515" "Good" "About the right weight" 200
"1516" "Good" "Very overweight" 90
"1517" "Very Good" "Slightly overweight" 350
"1518" "Excellent" "About the right weight" 300
"1519" "Good" "Slightly overweight" 60
"1520" "Very Good" "Slightly overweight" 840
"1521" "Fair" "About the right weight" 720
"1522" "Good" "About the right weight" 135
"1523" "Good" "Very overweight" 420
"1524" "Good" "Very overweight" 0
"1525" "Good" "About the right weight" 420
"1526" "Good" "About the right weight" 300
"1527" "Good" "Very overweight" 180
"1528" "Very Good" "About the right weight" 500
"1529" "Good" "Slightly overweight" 40
"1530" "Very Good" "Very overweight" 600
"1531" "Poor" "About the right weight" 0
"1532" "Very Good" "About the right weight" 540
"1533" "Good" "About the right weight" 360
"1534" "Very Good" "Slightly overweight" 90
"1535" "Very Good" "About the right weight" 60
"1536" "Good" "About the right weight" 300
"1537" "Good" "About the right weight" 120
"1538" "Very Good" "About the right weight" 380
"1539" "Very Good" "About the right weight" 180
"1540" "Good" "Slightly overweight" 60
"1541" "Good" "About the right weight" 200
"1542" "Good" "Very overweight" 150
"1543" "Very Good" "Slightly overweight" 360
"1544" "Good" "About the right weight" 30
"1545" "Good" "Slightly underweight" 300
"1546" "Good" "Slightly overweight" 120
"1547" "Very Good" "About the right weight" 200
"1548" "Very Good" "About the right weight" 200
"1549" "Fair" "Very overweight" 30
"1550" "Very Good" "Slightly overweight" 30
"1551" "Good" "Slightly overweight" 230
"1552" "Very Good" "About the right weight" 120
"1553" "Very Good" "Slightly underweight" 200
"1554" "Good" "Slightly overweight" 700
"1555" "Very Good" "Slightly overweight" 60
"1556" "Good" "Very underweight" 30
"1557" "Excellent" "About the right weight" 120
"1558" "Very Good" "Slightly overweight" 120
"1559" "Very Good" "Slightly underweight" NA
"1560" "Good" "About the right weight" 120
"1561" "Good" "About the right weight" 30
"1562" "Excellent" "About the right weight" 30
"1563" "Very Good" "About the right weight" 180
"1564" "Poor" "Slightly underweight" 420
"1565" "Fair" "Very overweight" 60
"1566" "Good" "Slightly underweight" 60
"1567" "Excellent" "Slightly overweight" 120
"1568" "Very Good" "About the right weight" 480
"1569" "Fair" "Very overweight" 45
"1570" "Very Good" "About the right weight" 120
"1571" "Good" "About the right weight" 200
"1572" "Fair" "Slightly underweight" 0
"1573" "Very Good" "About the right weight" 600
"1574" "Good" "Slightly overweight" 250
"1575" "Good" "Slightly overweight" 2400
"1576" "Excellent" "About the right weight" 180
"1577" "Excellent" "About the right weight" 90
"1578" "Excellent" "Slightly overweight" 300
"1579" "Very Good" "About the right weight" 700
"1580" "Good" "About the right weight" 300
"1581" "Good" "Slightly overweight" 360
"1582" "Very Good" "About the right weight" 270
"1583" "Excellent" "Very overweight" 20
"1584" "Very Good" "About the right weight" 120
"1585" "Very Good" "About the right weight" 300
"1586" "Fair" "Slightly underweight" 300
"1587" "Fair" "Very overweight" 350
"1588" "Very Good" "Slightly overweight" 120
"1589" "Excellent" "About the right weight" 300
"1590" "Excellent" "About the right weight" 60
"1591" "Excellent" "Slightly overweight" 60
"1592" "Very Good" "About the right weight" 200
"1593" "Excellent" "About the right weight" 30
"1594" "Very Good" "Slightly overweight" 245
"1595" "Very Good" "Slightly overweight" 400
"1596" "Fair" "Slightly overweight" 30
"1597" "Very Good" "About the right weight" 300
"1598" "Good" "Slightly overweight" 500
"1599" "Excellent" "About the right weight" 180
"1600" "Good" "Slightly overweight" 150
"1601" "Fair" "Slightly underweight" 300
"1602" "Very Good" "About the right weight" NA
"1603" "Very Good" "Slightly overweight" 420
"1604" "Good" "About the right weight" 240
"1605" "Good" "Slightly overweight" 60
"1606" "Very Good" "About the right weight" 120
"1607" "Fair" "About the right weight" 120
"1608" "Very Good" "About the right weight" 60
"1609" "Good" "Very overweight" 30
"1610" "Very Good" "About the right weight" 1500
"1611" "Good" "Slightly overweight" 0
"1612" "Very Good" "Slightly overweight" 160
"1613" "Good" "About the right weight" 500
"1614" "Good" "Slightly overweight" 120
"1615" "Good" "About the right weight" 840
"1616" "Very Good" "About the right weight" 120
"1617" "Very Good" "About the right weight" 840
"1618" "Fair" "Very overweight" 210
"1619" "Very Good" "Slightly overweight" 100
"1620" "Good" "About the right weight" 500
"1621" "Very Good" "About the right weight" 120
"1622" "Very Good" "Slightly overweight" 180
"1623" "Very Good" "Slightly overweight" 210
"1624" "Good" "Slightly underweight" 465
"1625" "Fair" "Slightly overweight" 60
"1626" "Good" "Slightly overweight" 150
"1627" "Very Good" "About the right weight" 180
"1628" "Good" "About the right weight" 30
"1629" "Excellent" "About the right weight" 90
"1630" "Good" "About the right weight" 60
"1631" "Fair" "Slightly overweight" 60
"1632" "Good" "About the right weight" 360
"1633" "Good" "Slightly overweight" 240
"1634" "Fair" "About the right weight" 210
"1635" "Fair" "Slightly overweight" 60
"1636" "Excellent" "About the right weight" 300
"1637" "Very Good" "Slightly overweight" 45
"1638" "Excellent" "About the right weight" 100
"1639" "Very Good" "Slightly underweight" 30
"1640" "Good" "About the right weight" 180
"1641" "Very Good" "Slightly overweight" 320
"1642" "Good" "About the right weight" 120
"1643" "Good" "About the right weight" 360
"1644" "Very Good" "Very overweight" 60
"1645" "Good" "About the right weight" 120
"1646" NA "About the right weight" 120
"1647" "Good" "Very overweight" 90
"1648" "Good" "Slightly underweight" 60
"1649" "Excellent" "Slightly overweight" 120
"1650" "Good" "About the right weight" 60
"1651" "Good" "Slightly overweight" 360
"1652" "Good" "About the right weight" 600
"1653" "Fair" "Slightly underweight" 90
"1654" "Good" "About the right weight" 160
"1655" "Fair" "Very overweight" 120
"1656" "Good" "About the right weight" 280
"1657" NA "About the right weight" 128
"1658" "Very Good" "About the right weight" 140
"1659" "Very Good" "Slightly underweight" 60
"1660" "Very Good" "About the right weight" 30
"1661" "Very Good" "About the right weight" 60
"1662" "Fair" "Slightly underweight" 155
"1663" "Very Good" "Slightly overweight" 90
"1664" "Excellent" "About the right weight" 300
"1665" "Fair" "Very overweight" 240
"1666" "Excellent" "Slightly overweight" 170
"1667" "Very Good" "About the right weight" 180
"1668" "Excellent" "About the right weight" 600
"1669" "Very Good" "About the right weight" 230
"1670" "Very Good" "Slightly overweight" 95
"1671" "Very Good" "Slightly underweight" 30
"1672" "Good" "Very overweight" 0
"1673" "Good" "About the right weight" 100
"1674" "Good" "Slightly underweight" 60
"1675" "Very Good" "Very underweight" 150
"1676" "Excellent" "About the right weight" 400
"1677" "Very Good" "Slightly underweight" 60
"1678" "Good" "Slightly overweight" 30
"1679" "Excellent" "About the right weight" 300
"1680" "Very Good" "Slightly overweight" 60
"1681" "Fair" "About the right weight" 180
"1682" "Good" "About the right weight" 60
"1683" "Very Good" "Slightly overweight" 240
"1684" "Very Good" "About the right weight" 180
"1685" "Good" "Slightly underweight" 180
"1686" "Good" "About the right weight" 480
"1687" "Very Good" "Slightly underweight" 240
"1688" "Good" "Slightly underweight" 60
"1689" "Good" "Slightly overweight" 90
"1690" "Good" "Slightly overweight" 360
"1691" "Very Good" "About the right weight" 360
"1692" "Very Good" "About the right weight" 120
"1693" "Very Good" "Slightly overweight" 90
"1694" "Fair" "Slightly overweight" 900
"1695" "Good" "Very overweight" 300
"1696" "Good" "Slightly overweight" 270
"1697" "Excellent" "About the right weight" 240
"1698" "Very Good" "Very overweight" 3000
"1699" "Very Good" "Slightly underweight" 60
"1700" "Excellent" "About the right weight" 120
"1701" "Excellent" "About the right weight" 120
"1702" "Very Good" "Slightly overweight" 50
"1703" "Excellent" "About the right weight" 60
"1704" "Poor" "Very overweight" 0
"1705" "Very Good" "About the right weight" 300
"1706" "Very Good" "Slightly overweight" 2000
"1707" "Very Good" "Very overweight" 180
"1708" "Excellent" "About the right weight" 60
"1709" "Good" "Slightly overweight" 600
"1710" "Excellent" "About the right weight" 120
"1711" "Very Good" "About the right weight" 60
"1712" "Very Good" "Slightly overweight" 0
"1713" "Good" "Slightly overweight" 280
"1714" "Excellent" "About the right weight" 630
"1715" "Good" "About the right weight" 350
"1716" "Very Good" "Slightly overweight" 40
"1717" "Good" "Slightly overweight" 0
"1718" "Very Good" "Very overweight" 100
"1719" "Fair" "Very overweight" 60
"1720" "Very Good" "Slightly overweight" 45
"1721" "Very Good" "About the right weight" 120
"1722" "Good" "About the right weight" 120
"1723" "Good" "Slightly underweight" 60
"1724" "Good" "Slightly underweight" 500
"1725" "Excellent" "About the right weight" 60
"1726" "Excellent" "About the right weight" 30
"1727" "Good" "About the right weight" 360
"1728" "Good" "Very overweight" 300
"1729" NA "Very overweight" 1000
"1730" "Good" "Very overweight" 300
"1731" "Good" "About the right weight" 60
"1732" "Very Good" "About the right weight" 150
"1733" "Good" "About the right weight" 210
"1734" "Good" "Slightly overweight" 60
"1735" "Very Good" "Very overweight" 10
"1736" "Very Good" "Very overweight" 49
"1737" "Very Good" "Slightly overweight" 120
"1738" "Fair" "Slightly underweight" 90
"1739" "Fair" "About the right weight" 500
"1740" "Very Good" "About the right weight" 180
"1741" "Very Good" "Slightly underweight" 120
"1742" "Fair" "Very overweight" 500
"1743" "Very Good" "About the right weight" 600
"1744" "Excellent" "Very overweight" 120
"1745" "Good" "Slightly overweight" 150
"1746" "Fair" "About the right weight" 180
"1747" "Very Good" "About the right weight" 290
"1748" "Fair" "About the right weight" 500
"1749" "Fair" "Very overweight" 60
"1750" "Very Good" "Slightly overweight" 80
"1751" "Very Good" "About the right weight" 90
"1752" "Excellent" "Slightly overweight" 840
"1753" "Good" "Very overweight" 30
"1754" "Very Good" "About the right weight" 75
"1755" "Excellent" "About the right weight" 240
"1756" "Fair" "About the right weight" 200
"1757" "Very Good" "About the right weight" 300
"1758" "Excellent" "About the right weight" 30
"1759" "Excellent" "About the right weight" 150
"1760" "Very Good" "About the right weight" 30
"1761" "Very Good" "About the right weight" 20
"1762" "Very Good" "Slightly overweight" 720
"1763" "Very Good" "About the right weight" 90
"1764" "Very Good" "Slightly overweight" 100
"1765" "Poor" "Slightly underweight" 300
"1766" NA "About the right weight" 500
"1767" "Very Good" "About the right weight" 180
"1768" "Very Good" "Very overweight" 200
"1769" "Excellent" "Very underweight" 75
"1770" "Good" "Slightly overweight" 60
"1771" "Very Good" "About the right weight" 240
"1772" "Good" "Slightly underweight" 60
"1773" "Poor" "Very overweight" 0
"1774" "Fair" "Slightly overweight" 0
"1775" "Very Good" "About the right weight" 180
"1776" "Good" "About the right weight" 180
"1777" "Very Good" "About the right weight" 120
"1778" "Very Good" "Slightly overweight" 120
"1779" "Excellent" "About the right weight" 30
"1780" "Very Good" "Slightly underweight" 200
"1781" "Very Good" "About the right weight" 250
"1782" "Good" "About the right weight" 480
"1783" "Good" "Slightly overweight" 60
"1784" "Very Good" "About the right weight" 2400
"1785" "Very Good" "About the right weight" 45
"1786" "Good" "About the right weight" 90
"1787" "Good" "About the right weight" 45
"1788" "Fair" "Slightly overweight" 10
"1789" "Very Good" "About the right weight" 180
"1790" "Good" "About the right weight" 80
"1791" "Fair" "Very underweight" 120
"1792" "Good" "Slightly underweight" 240
"1793" "Very Good" "About the right weight" 30
"1794" "Excellent" "About the right weight" 400
"1795" "Very Good" "Very overweight" 300
"1796" "Very Good" "About the right weight" 720
"1797" "Good" "About the right weight" 300
"1798" "Good" "Slightly underweight" 45
"1799" "Fair" "Slightly overweight" 180
"1800" "Very Good" "Slightly overweight" 420
"1801" "Good" "Slightly overweight" 30
"1802" "Excellent" "About the right weight" 120
"1803" "Good" "Slightly overweight" 160
"1804" "Fair" "Very underweight" 300
"1805" "Very Good" "Slightly overweight" 360
"1806" "Very Good" "About the right weight" 60
"1807" "Very Good" "Slightly underweight" 180
"1808" "Excellent" "Slightly overweight" NA
"1809" "Fair" "Very overweight" 210
"1810" "Good" "About the right weight" 200
"1811" "Very Good" "Very overweight" NA
"1812" "Very Good" "Slightly underweight" 180
"1813" "Excellent" "Slightly overweight" 200
"1814" "Very Good" "About the right weight" 60
"1815" NA "About the right weight" 10
"1816" "Very Good" "About the right weight" 210
"1817" "Very Good" "About the right weight" 60
"1818" "Very Good" "Slightly overweight" 260
"1819" "Excellent" "About the right weight" 600
"1820" "Very Good" "About the right weight" 100
"1821" "Good" "Slightly overweight" 180
"1822" "Excellent" "About the right weight" 480
"1823" "Excellent" "Very overweight" 60
"1824" "Very Good" "About the right weight" 1000
"1825" "Fair" "Very overweight" 240
"1826" "Good" "About the right weight" 180
"1827" "Very Good" "About the right weight" 60
"1828" "Good" "About the right weight" 180
"1829" "Good" "Slightly underweight" 0
"1830" "Very Good" "About the right weight" 120
"1831" "Good" "Slightly underweight" 180
"1832" "Very Good" "About the right weight" 90
"1833" "Very Good" "About the right weight" 300
"1834" "Very Good" "Very overweight" 30
"1835" "Fair" "Slightly overweight" 50
"1836" "Good" "Slightly overweight" 120
"1837" "Very Good" "Slightly overweight" 14
"1838" "Good" "About the right weight" 240
"1839" "Very Good" "About the right weight" 120
"1840" "Very Good" "Very overweight" 210
"1841" "Excellent" "Slightly overweight" 300
"1842" "Very Good" "About the right weight" 30
"1843" "Excellent" "Slightly overweight" 30
"1844" "Good" "About the right weight" 45
"1845" "Good" "Slightly overweight" 5
"1846" "Good" "Very underweight" 45
"1847" "Fair" "Very overweight" 240
"1848" "Fair" "Slightly overweight" 60
"1849" "Fair" "About the right weight" 100
"1850" "Fair" "Slightly overweight" 60
"1851" "Very Good" "Very overweight" 120
"1852" "Very Good" "About the right weight" 240
"1853" "Good" "About the right weight" 180
"1854" "Good" "Slightly overweight" 180
"1855" "Excellent" "About the right weight" 60
"1856" "Very Good" "About the right weight" 200
"1857" "Very Good" "Slightly overweight" 200
"1858" "Good" "Slightly overweight" 90
"1859" "Very Good" "Slightly overweight" 95
"1860" "Fair" "Slightly overweight" 120
"1861" "Good" "About the right weight" 60
"1862" "Good" "Very overweight" 30
"1863" "Very Good" "About the right weight" 180
"1864" "Fair" "Slightly overweight" 200
"1865" "Excellent" "Slightly overweight" 240
"1866" "Good" "Slightly underweight" 200
"1867" "Very Good" "About the right weight" 75
"1868" NA "About the right weight" 60
"1869" "Fair" "Very overweight" 180
"1870" "Good" "About the right weight" 120
"1871" "Excellent" "Slightly underweight" 120
"1872" "Excellent" "Slightly underweight" 0
"1873" "Poor" "About the right weight" 740
"1874" "Excellent" "About the right weight" 500
"1875" "Excellent" "About the right weight" 20
"1876" "Good" "About the right weight" 150
"1877" "Excellent" "Slightly overweight" 180
"1878" "Very Good" "About the right weight" 360
"1879" "Good" "About the right weight" 30
"1880" "Very Good" "Slightly underweight" 60
"1881" "Very Good" "About the right weight" 180
"1882" "Very Good" "Slightly overweight" 60
"1883" "Very Good" "About the right weight" 120
"1884" "Very Good" "Very overweight" 240
"1885" "Good" "About the right weight" 0
"1886" "Very Good" "Slightly overweight" 180
"1887" "Good" "Slightly underweight" 360
"1888" "Good" "Slightly underweight" 210
"1889" "Very Good" "About the right weight" 1800
"1890" "Very Good" "Slightly underweight" 15
"1891" "Fair" "Slightly overweight" 1260
"1892" "Good" "About the right weight" 30
"1893" "Good" "Slightly overweight" 60
"1894" "Very Good" "About the right weight" 1500
"1895" "Poor" "Slightly underweight" 30
"1896" "Very Good" "About the right weight" 120
"1897" NA "About the right weight" 10
"1898" "Good" "Slightly underweight" 180
"1899" "Good" "Slightly overweight" 180
"1900" "Very Good" "About the right weight" 120
"1901" "Very Good" "About the right weight" 430
"1902" "Good" NA NA
"1903" "Fair" "Slightly underweight" 40
"1904" "Excellent" "About the right weight" 60
"1905" "Fair" "About the right weight" 20
"1906" "Good" "Slightly underweight" 200
"1907" "Good" "About the right weight" 10
"1908" "Fair" "Slightly underweight" 200
"1909" "Very Good" "About the right weight" 600
"1910" "Very Good" "Slightly overweight" 60
"1911" "Very Good" "About the right weight" 40
"1912" "Good" "About the right weight" 600
"1913" "Very Good" "About the right weight" 900
"1914" "Good" "Slightly overweight" 120
"1915" "Excellent" "About the right weight" 200
"1916" "Excellent" "About the right weight" 300
"1917" "Very Good" "Slightly overweight" 30
"1918" "Good" "Slightly overweight" 60
"1919" "Excellent" "About the right weight" 300
"1920" "Very Good" "About the right weight" 240
"1921" "Good" "Very underweight" 30
"1922" "Good" "Slightly underweight" 20
"1923" "Excellent" "About the right weight" 420
"1924" "Very Good" "About the right weight" 90
"1925" "Fair" "Slightly overweight" 120
"1926" "Good" "Slightly overweight" 60
"1927" "Very Good" "Slightly overweight" 840
"1928" "Good" "Slightly overweight" 390
"1929" "Excellent" "Slightly overweight" 400
"1930" "Good" "Slightly underweight" 15
"1931" "Very Good" "About the right weight" 65
"1932" "Good" "Slightly overweight" 240
"1933" "Very Good" "Slightly underweight" 1300
"1934" "Very Good" "About the right weight" 7
"1935" "Very Good" "About the right weight" 400
"1936" "Good" "About the right weight" 300
"1937" "Very Good" "Slightly overweight" 300
"1938" "Very Good" "Slightly overweight" 500
"1939" "Excellent" "About the right weight" 150
"1940" "Fair" "Very overweight" 240
"1941" "Fair" "Slightly overweight" 600
"1942" "Good" "Slightly overweight" 60
"1943" "Very Good" "About the right weight" 280
"1944" "Good" "About the right weight" 60
"1945" "Very Good" "About the right weight" 150
"1946" "Excellent" "Slightly underweight" 30
"1947" "Fair" "About the right weight" 100
"1948" "Good" "Slightly overweight" 30
"1949" "Very Good" NA NA
"1950" "Good" "Very overweight" 40
"1951" "Excellent" "Slightly underweight" 1000
"1952" "Very Good" "About the right weight" 280
"1953" "Excellent" "Slightly underweight" 360
"1954" "Very Good" "About the right weight" 180
"1955" "Excellent" "Slightly overweight" 80
"1956" "Good" "Very overweight" 420
"1957" "Excellent" "About the right weight" 200
"1958" "Very Good" "About the right weight" 180
"1959" "Very Good" "Slightly overweight" 30
"1960" "Very Good" "About the right weight" 140
"1961" "Very Good" "About the right weight" 40
"1962" "Very Good" "About the right weight" 120
"1963" "Good" "Slightly overweight" 120
"1964" "Good" "About the right weight" 90
"1965" "Fair" "About the right weight" 120
"1966" "Very Good" "About the right weight" 31
"1967" "Fair" "Slightly overweight" 200
"1968" "Good" "About the right weight" 120
"1969" "Fair" "Slightly underweight" 60
"1970" "Excellent" "About the right weight" 320
"1971" "Good" "Slightly overweight" 60
"1972" "Very Good" "About the right weight" 60
"1973" "Good" "Slightly overweight" 0
"1974" "Fair" "Slightly overweight" 25
"1975" "Very Good" "About the right weight" 305
"1976" NA "Slightly overweight" 30
"1977" "Good" "Slightly overweight" 20
"1978" "Good" "About the right weight" 150
"1979" "Very Good" "About the right weight" 100
"1980" "Good" "Slightly overweight" 60
"1981" "Very Good" "About the right weight" 20
"1982" "Very Good" "About the right weight" 90
"1983" "Very Good" "About the right weight" 140
"1984" "Very Good" "Slightly overweight" 240
"1985" "Good" "Slightly underweight" 180
"1986" "Good" "About the right weight" 210
"1987" "Excellent" "About the right weight" 60
"1988" "Very Good" "About the right weight" 60
"1989" "Very Good" "About the right weight" 840
"1990" "Very Good" "About the right weight" 80
"1991" "Very Good" "Very underweight" 50
"1992" "Good" "Slightly overweight" 30
"1993" "Fair" "Slightly overweight" 0
"1994" "Excellent" "Slightly underweight" 400
"1995" "Good" "About the right weight" 120
"1996" "Good" "About the right weight" NA
"1997" "Very Good" "Slightly underweight" 360
"1998" "Excellent" "About the right weight" 200
"1999" "Good" "About the right weight" 150
"2000" "Fair" "Slightly overweight" 280
"2001" "Good" "Slightly overweight" 240
"2002" "Good" "Slightly overweight" 180
"2003" "Excellent" "Slightly underweight" 45
"2004" "Very Good" "About the right weight" 450
"2005" "Very Good" "About the right weight" 420
"2006" "Very Good" "About the right weight" 120
"2007" "Very Good" "Very underweight" 16
"2008" "Good" "Very overweight" 90
"2009" "Good" "Very overweight" 120
"2010" "Very Good" "About the right weight" 60
"2011" "Very Good" "Slightly overweight" 150
"2012" "Good" "About the right weight" 180
"2013" "Excellent" "Slightly underweight" 60
"2014" "Very Good" "About the right weight" 30
"2015" "Good" "About the right weight" 70
"2016" "Good" "About the right weight" 60
"2017" "Fair" "About the right weight" 1800
"2018" "Excellent" "About the right weight" 60
"2019" NA "About the right weight" 400
"2020" "Good" "Slightly underweight" 150
"2021" "Good" "About the right weight" 4600
"2022" "Fair" "Slightly overweight" 120
"2023" "Good" "Slightly overweight" 5
"2024" "Fair" "Slightly overweight" 90
"2025" "Very Good" "Slightly underweight" 120
"2026" "Good" "About the right weight" 560
"2027" "Excellent" "About the right weight" 320
"2028" "Very Good" "About the right weight" 180
"2029" "Good" "Very overweight" 60
"2030" "Good" "About the right weight" 200
"2031" "Good" "About the right weight" 600
"2032" NA "Slightly overweight" 120
"2033" "Excellent" "About the right weight" 60
"2034" "Very Good" "About the right weight" 0
"2035" "Very Good" "Slightly overweight" 1260
"2036" "Fair" "Slightly underweight" 85
"2037" "Very Good" "Slightly overweight" 210
"2038" "Very Good" "About the right weight" 1500
"2039" "Good" "Slightly overweight" 60
"2040" "Fair" "Very overweight" 840
"2041" "Very Good" "Slightly underweight" 360
"2042" "Good" "About the right weight" 150
"2043" "Excellent" "About the right weight" 200
"2044" NA "About the right weight" 70
"2045" "Very Good" "About the right weight" 90
"2046" "Good" "About the right weight" 420
"2047" "Very Good" "About the right weight" 420
"2048" "Excellent" "About the right weight" 240
"2049" "Fair" "About the right weight" 80
"2050" "Good" "Slightly overweight" 120
"2051" "Good" "Slightly overweight" 20
"2052" "Very Good" "Very overweight" 360
"2053" "Very Good" "About the right weight" 30
"2054" "Excellent" "About the right weight" 400
"2055" "Very Good" "Very underweight" 200
"2056" "Very Good" "About the right weight" 10
"2057" "Very Good" "Slightly underweight" 20
"2058" "Very Good" "Slightly underweight" 550
"2059" "Fair" "Slightly overweight" 180
"2060" "Very Good" "Slightly overweight" 60
"2061" "Poor" "About the right weight" 240
"2062" "Fair" "Very overweight" 0
"2063" "Fair" "Very overweight" 30
"2064" "Fair" "Slightly overweight" 380
"2065" "Good" "Slightly underweight" 420
"2066" "Excellent" "About the right weight" 120
"2067" "Excellent" "Slightly overweight" 60
"2068" "Very Good" "Very overweight" 10
"2069" "Fair" "Slightly overweight" 120
"2070" "Very Good" "About the right weight" 45
"2071" "Good" "Slightly underweight" 100
"2072" "Very Good" "About the right weight" 60
"2073" "Good" "About the right weight" 300
"2074" "Good" "Slightly overweight" 45
"2075" "Very Good" "About the right weight" 45
"2076" "Poor" "About the right weight" 300
"2077" "Very Good" "Slightly overweight" 1260
"2078" "Very Good" "Very overweight" 2400
"2079" "Good" "About the right weight" 14
"2080" "Excellent" "About the right weight" 0
"2081" "Good" "About the right weight" 120
"2082" "Fair" "Slightly underweight" 240
"2083" "Very Good" "Slightly overweight" 1500
"2084" "Good" "About the right weight" 23
"2085" "Very Good" "About the right weight" 1260
"2086" "Very Good" "About the right weight" 210
"2087" "Excellent" "About the right weight" 720
"2088" "Fair" "Slightly overweight" 0
"2089" NA "About the right weight" 240
"2090" "Very Good" "Slightly overweight" 30
"2091" NA "Very overweight" 60
"2092" "Excellent" "Slightly overweight" 420
"2093" "Good" "About the right weight" 600
"2094" "Very Good" "Slightly overweight" 320
"2095" NA "Slightly overweight" 60
"2096" "Good" "Slightly overweight" 560
"2097" "Good" "About the right weight" 40
"2098" "Good" "About the right weight" 420
"2099" "Very Good" "About the right weight" 300
"2100" "Very Good" "About the right weight" 200
"2101" "Very Good" "Slightly overweight" 60
"2102" "Good" "Slightly overweight" 0
"2103" "Excellent" "Slightly overweight" 60
"2104" "Very Good" "About the right weight" 180
"2105" "Good" "About the right weight" 120
"2106" "Poor" "Slightly overweight" 0
"2107" "Fair" "Slightly overweight" 240
"2108" "Excellent" "About the right weight" 240
"2109" "Excellent" "Slightly overweight" 60
"2110" "Good" "Slightly underweight" 50
"2111" "Very Good" "Slightly overweight" 260
"2112" "Good" "Slightly overweight" 500
"2113" "Fair" "Very overweight" 1000
"2114" "Very Good" "About the right weight" 200
"2115" "Very Good" "Slightly overweight" 480
"2116" "Very Good" "About the right weight" 120
"2117" "Good" "Slightly overweight" 30
"2118" "Good" "Very overweight" 60
"2119" "Excellent" "About the right weight" 210
"2120" "Very Good" "About the right weight" 80
"2121" "Fair" "Very overweight" 60
"2122" "Very Good" "Slightly underweight" 360
"2123" "Very Good" "About the right weight" 60
"2124" "Very Good" "Slightly overweight" 5
"2125" "Very Good" "About the right weight" 200
"2126" "Fair" "Slightly underweight" 1920
"2127" "Good" "Slightly overweight" 110
"2128" "Good" "About the right weight" 120
"2129" "Excellent" "Slightly overweight" 315
"2130" "Very Good" "About the right weight" 540
"2131" "Excellent" "Slightly overweight" 60
"2132" "Good" "Slightly overweight" 60
"2133" "Good" "About the right weight" 300
"2134" "Fair" "Slightly overweight" 180
"2135" "Excellent" "About the right weight" 1200
"2136" "Excellent" "About the right weight" 100
"2137" "Very Good" "Slightly overweight" 100
"2138" "Good" "Slightly overweight" 280
"2139" "Good" "About the right weight" 15
"2140" "Excellent" "About the right weight" 150
"2141" "Very Good" "Slightly overweight" 90
"2142" "Excellent" "About the right weight" 250
"2143" "Very Good" "About the right weight" 400
"2144" "Fair" "Slightly overweight" 180
"2145" "Very Good" "About the right weight" 30
"2146" "Good" "About the right weight" 600
"2147" "Fair" "About the right weight" 60
